Actual_RUL,Predicted_RUL,Maintenance_Action,Failure_Probability,Maintenance_Cost,Downtime_Hours,Production_Loss,Total_Financial_Impact,AI_Insight,Rule_Based_Insight,LLM_Insight
125,118.04492,Healthy,0.055640638,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            118.0 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            118.0 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            118.0 cycles.

            Continue monitoring operational conditions.
            "
125,124.43209,Healthy,0.004543245,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            124.4 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            124.4 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            124.4 cycles.

            Continue monitoring operational conditions.
            "
125,120.81441,Healthy,0.033484757,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.8 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.8 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.8 cycles.

            Continue monitoring operational conditions.
            "
120,120.556755,Healthy,0.035545945,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.6 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.6 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.6 cycles.

            Continue monitoring operational conditions.
            "
87,61.524586,Monitor Closely,0.5078033,50000,6,120000,170000,"
            Moderate degradation trend observed.

            Estimated RUL:
            61.5 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            ","
            Moderate degradation trend observed.

            Estimated RUL:
            61.5 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            ","
            Moderate degradation trend observed.

            Estimated RUL:
            61.5 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            "
125,123.306305,Healthy,0.013549566,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            123.3 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            123.3 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            123.3 cycles.

            Continue monitoring operational conditions.
            "
38,42.591076,Schedule Maintenance,0.65927136,250000,24,480000,730000,"
            Moderate degradation trend observed.

            Estimated RUL:
            42.6 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            ","
            Moderate degradation trend observed.

            Estimated RUL:
            42.6 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            ","
            Moderate degradation trend observed.

            Estimated RUL:
            42.6 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            "
125,120.9446,Healthy,0.032443166,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.9 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.9 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            120.9 cycles.

            Continue monitoring operational conditions.
            "
105,107.525215,Healthy,0.13979828,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            107.5 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            107.5 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            107.5 cycles.

            Continue monitoring operational conditions.
            "
106,109.76169,Healthy,0.12190652,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            109.8 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            109.8 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            109.8 cycles.

            Continue monitoring operational conditions.
            "
125,73.835846,Monitor Closely,0.40931326,50000,6,120000,170000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            73.8 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            73.8 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            73.8 cycles.

            Continue monitoring operational conditions.
            "
43,44.77382,Schedule Maintenance,0.64180946,250000,24,480000,730000,"
            Moderate degradation trend observed.

            Estimated RUL:
            44.8 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            ","
            Moderate degradation trend observed.

            Estimated RUL:
            44.8 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            ","
            Moderate degradation trend observed.

            Estimated RUL:
            44.8 cycles.

            Preventive maintenance scheduling
            is recommended within the next quarter.
            "
3,2.7426102,Immediate Maintenance,0.9780591,500000,72,1440000,1940000,"
            Critical degradation risk detected.

            Estimated RUL:
            2.7 cycles.

            Projected maintenance exposure:
            ₹1,940,000.

            Immediate intervention recommended
            to avoid unplanned operational losses.
            ","
            Critical degradation risk detected.

            Estimated RUL:
            2.7 cycles.

            Projected maintenance exposure:
            ₹1,940,000.

            Immediate intervention recommended
            to avoid unplanned operational losses.
            ","**Maintenance Risk Insight**

Asset: High-Risk Equipment

Predicted Remaining Useful Life: 2.7 years
Failure Probability: 98% (High Risk)
Total Financial Exposure: ₹1,940,000

**Recommendation:** Immediate Maintenance is recommended to mitigate the high failure probability and associated financial exposure. This proactive measure will help prevent potential losses and ensure business continuity."
121,116.67146,Healthy,0.06662828,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            116.7 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            116.7 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            116.7 cycles.

            Continue monitoring operational conditions.
            "
7,3.0748034,Immediate Maintenance,0.9754016,500000,72,1440000,1940000,"
            Critical degradation risk detected.

            Estimated RUL:
            3.1 cycles.

            Projected maintenance exposure:
            ₹1,940,000.

            Immediate intervention recommended
            to avoid unplanned operational losses.
            ","
            Critical degradation risk detected.

            Estimated RUL:
            3.1 cycles.

            Projected maintenance exposure:
            ₹1,940,000.

            Immediate intervention recommended
            to avoid unplanned operational losses.
            ","**Maintenance Risk Insight**

Asset: High-Risk Asset with Limited Remaining Life

* Predicted Remaining Useful Life: 3.1 years (near end-of-life)
* Failure Probability: 98% (extremely high)
* Total Financial Exposure: ₹1,940,000 (significant potential loss)
* Recommended Action: Immediate Maintenance to mitigate risk and prevent potential losses."
122,116.55961,Healthy,0.06752312,10000,1,20000,30000,"
            Asset health remains within acceptable limits.

            Estimated RUL:
            116.6 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            116.6 cycles.

            Continue monitoring operational conditions.
            ","
            Asset health remains within acceptable limits.

            Estimated RUL:
            116.6 cycles.

            Continue monitoring operational conditions.
            "
